City,HousingType,Price,Currency,Note
Belgrade,Paylasimli oda / yurt,28000.0,RSD,Erasmus ogrenci konutu ortalamasi
Lisbon,Paylasimli oda / yurt,300.0,EUR,Erasmus ogrenci konutu ortalamasi
Lomza,Paylasimli oda / yurt,580.0,PLN,Erasmus ogrenci konutu ortalamasi
Porto,Paylasimli oda / yurt,380.0,EUR,Erasmus ogrenci konutu ortalamasi
Skopje,Paylasimli oda / yurt,18000.0,MKD,Erasmus ogrenci konutu ortalamasi
Sofia,Paylasimli oda / yurt,320.0,EUR,Erasmus ogrenci konutu ortalamasi
Vilnius,Paylasimli oda / yurt,350.0,EUR,Erasmus ogrenci konutu ortalamasi
Warsaw,Paylasimli oda / yurt,900.0,PLN,Erasmus ogrenci konutu ortalamasi
